,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
intercept,1.84,1.63,1.73,4.99,1.30,2.21,-0.55,-1.43,1.96,3.40,4.85,2.57,-0.33,2.84,-1.41,0.21,1.72,2.67,3.48,1.98,-0.10,1.72,5.77,3.49,0.03,-0.82,2.75,-0.87,3.70,2.94,2.19,1.34,0.57,2.15,4.02,2.72,-0.99,0.11,2.68,0.15,0.40,0.42,0.68,4.16,1.52,1.04,1.84,0.40,1.68,3.64,1.75,2.36
slope,-0.37,-0.42,-0.40,-1.57,-0.27,-0.47,0.69,0.97,-0.48,-0.94,-1.31,-0.73,0.55,-0.74,1.06,0.35,-0.38,-0.77,-1.19,-0.46,0.59,-0.41,-2.03,-0.95,0.43,1.09,-0.86,0.94,-1.23,-0.97,-0.78,-0.28,-0.15,-0.84,-1.42,-0.87,1.23,0.36,-0.82,0.32,0.30,0.32,-0.11,-1.43,-0.45,0.08,-0.54,-0.07,-0.49,-1.23,-0.57,-0.91
r,-0.55,-0.28,-0.53,-0.68,-0.23,-0.35,0.73,0.80,-0.47,-0.49,-0.67,-0.56,0.09,-0.62,0.65,0.07,-0.33,-0.64,-0.60,-0.47,0.78,-0.32,-0.61,-0.62,0.60,0.55,-0.52,0.14,-0.38,-0.79,-0.50,-0.52,-0.32,-0.60,-0.33,-0.58,0.20,0.08,-0.52,0.82,0.37,0.26,-0.42,-0.68,-0.44,0.07,-0.38,-0.23,-0.45,-0.66,-0.31,-0.81
rr,0.30,0.08,0.28,0.46,0.05,0.13,0.54,0.65,0.22,0.24,0.44,0.31,0.01,0.38,0.42,0.00,0.11,0.41,0.36,0.22,0.61,0.10,0.37,0.39,0.36,0.30,0.27,0.02,0.14,0.62,0.25,0.27,0.10,0.36,0.11,0.34,0.04,0.01,0.27,0.67,0.14,0.07,0.18,0.46,0.19,0.00,0.14,0.05,0.21,0.44,0.09,0.66
rmse,4.03,3.05,3.32,1.52,3.46,2.84,1.24,1.53,2.40,1.35,2.55,2.19,1.52,2.26,1.26,1.39,2.30,1.86,1.60,2.58,0.60,1.47,1.27,1.98,1.14,0.66,2.12,1.07,1.65,2.46,2.04,3.85,2.69,1.72,1.21,2.30,0.67,1.16,1.82,0.74,0.56,0.80,3.07,2.18,2.35,0.83,2.57,3.60,2.58,2.07,2.37,2.17
nrmse,0.94,0.92,0.91,0.62,0.92,0.83,0.55,0.56,0.82,0.55,0.80,0.79,0.58,0.77,0.50,0.56,0.79,0.73,0.69,0.83,0.50,0.65,0.55,0.70,0.56,0.38,0.81,0.46,0.68,0.89,0.86,0.95,0.95,0.81,0.55,0.86,0.47,0.59,0.74,0.56,0.41,0.44,0.91,0.84,0.88,0.41,0.89,0.96,0.90,0.80,0.90,0.91
sd_s,0.09,0.08,0.08,0.18,0.07,0.08,0.11,0.13,0.06,0.07,0.08,0.06,0.11,0.08,0.10,0.11,0.08,0.07,0.08,0.05,0.09,0.08,0.11,0.12,0.12,0.08,0.08,0.08,0.08,0.09,0.06,0.09,0.10,0.06,0.08,0.07,0.04,0.09,0.10,0.08,0.09,0.09,0.09,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.13
sd_k,0.06,0.06,0.06,0.26,0.05,0.06,0.08,0.13,0.07,0.12,0.12,0.07,0.11,0.09,0.11,0.09,0.08,0.12,0.13,0.05,0.06,0.06,0.26,0.13,0.08,0.10,0.14,0.16,0.17,0.07,0.07,0.04,0.03,0.08,0.21,0.08,0.05,0.07,0.12,0.03,0.05,0.07,0.06,0.09,0.08,0.08,0.08,0.03,0.07,0.09,0.08,0.10
mef,-1674.98,-1209.29,-1496.06,-43.24,-1952.95,-684.35,-122.00,-74.20,-1287.34,-299.68,-915.51,-1227.18,-177.31,-651.32,-87.25,-143.32,-739.12,-648.08,-334.96,-2066.05,-21.22,-303.76,-119.38,-234.87,-45.55,-57.28,-557.76,-90.17,-461.12,-714.20,-951.79,-1814.19,-613.21,-749.58,-188.69,-829.40,-113.58,-84.98,-271.57,-41.15,-17.23,-45.91,-1066.25,-718.82,-555.50,-62.87,-1346.71,-1453.86,-887.90,-741.26,-919.01,-262.24
nae,-0.94,-0.92,-0.92,-0.58,-0.92,-0.83,-0.56,-0.55,-0.81,-0.55,-0.80,-0.80,-0.58,-0.77,-0.50,-0.57,-0.79,-0.73,-0.69,-0.83,-0.48,-0.65,-0.53,-0.70,-0.55,-0.39,-0.81,-0.45,-0.68,-0.90,-0.86,-0.95,-0.95,-0.82,-0.55,-0.86,-0.47,-0.58,-0.74,-0.56,-0.41,-0.44,-0.91,-0.83,-0.88,-0.41,-0.89,-0.96,-0.90,-0.80,-0.90,-0.92
vr,0.37,0.61,0.45,2.06,0.54,0.53,0.57,1.08,1.34,2.79,2.19,1.17,1.16,1.25,1.29,0.72,0.93,2.73,2.66,1.05,0.44,0.51,5.19,1.19,0.42,1.41,3.06,3.56,4.90,0.67,1.30,0.16,0.10,1.70,6.19,1.16,1.46,0.64,1.32,0.15,0.27,0.66,0.48,1.58,0.93,0.97,1.47,0.16,1.01,1.62,1.97,0.66
pbias,84.66,80.60,84.64,36.85,80.30,41.34,48.72,29.22,71.16,46.25,69.99,73.13,48.28,68.28,25.55,50.99,71.51,65.80,60.21,71.99,24.80,56.97,48.67,62.20,26.86,33.69,65.07,24.11,66.30,78.26,77.76,89.16,83.87,69.81,49.16,70.24,23.08,28.34,63.17,25.54,18.96,26.39,76.16,61.32,58.43,22.97,77.74,62.23,50.46,72.68,45.96,79.51
nse,0.10,0.12,0.08,0.31,0.13,0.50,0.14,0.47,0.12,0.15,0.12,0.09,0.18,0.11,0.48,0.11,0.10,0.09,0.12,0.13,0.48,0.13,0.04,0.11,0.51,0.15,0.19,0.45,0.01,0.13,0.09,0.06,0.12,0.14,0.09,0.18,0.50,0.51,0.14,0.54,0.54,0.40,0.16,0.26,0.34,0.43,0.13,0.35,0.44,0.09,0.49,0.14
rsr,0.95,0.94,0.96,0.83,0.93,0.71,0.93,0.73,0.94,0.92,0.94,0.96,0.91,0.94,0.72,0.94,0.95,0.95,0.94,0.93,0.72,0.93,0.98,0.94,0.70,0.92,0.90,0.74,1.00,0.93,0.95,0.97,0.94,0.93,0.95,0.91,0.71,0.70,0.93,0.68,0.68,0.78,0.92,0.86,0.81,0.75,0.93,0.80,0.75,0.95,0.71,0.93
d,0.03,0.04,0.03,0.14,0.03,0.04,0.11,0.13,0.04,0.07,0.04,0.04,0.08,0.05,0.12,0.10,0.05,0.05,0.07,0.03,0.21,0.07,0.10,0.08,0.11,0.15,0.05,0.10,0.07,0.05,0.04,0.03,0.05,0.05,0.08,0.04,0.08,0.10,0.07,0.16,0.20,0.15,0.04,0.04,0.05,0.12,0.04,0.03,0.04,0.05,0.04,0.08
