,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,948.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.9,NA,NA,NA,NA,NA,152.1,NA,NA,NA,NA,NA,34.8,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,1031.2,NA,509.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845.7,NA,NA,NA,NA,NA,202.3,NA,NA,NA,NA,NA,192.9,NA
1953,NA,181.8,NA,NA,NA,NA,NA,NA,823.1,NA,904.4,NA,NA,NA,NA,NA,NA,NA,927.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897.6,2015.9,NA,NA,NA,NA,339.6,NA,NA,36,NA,NA,134.2,22.2
1954,NA,566.7,NA,NA,NA,NA,NA,NA,985.2,NA,1164.4,NA,NA,NA,NA,NA,NA,989,1060.7,883.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712.4,2029,NA,NA,188.7,NA,314.6,NA,NA,104.7,NA,NA,234.1,118.2
1955,NA,311.4,NA,NA,44.9,NA,NA,NA,797.3,NA,1032.8,NA,NA,648,NA,NA,NA,1137.9,1120.4,737.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.5,NA,156.5,NA,NA,NA,NA,NA,829.8,2323.5,NA,NA,206.5,NA,411.4,NA,NA,119.4,NA,NA,202.5,125.1
1956,NA,408.1,182.8,NA,460.6,652.1,963,NA,935.3,700.5,1215.7,NA,852.7,1696.3,NA,717,527.9,1264.1,1177.5,767.4,1672.4,NA,NA,NA,792.2,NA,NA,NA,NA,NA,335.5,NA,208.3,162.7,NA,NA,731.2,633.7,829.3,2287,1264.5,NA,210.6,82.7,475.8,NA,NA,103.8,NA,NA,258.6,150.2
1957,NA,287.6,480.7,NA,409.2,1367.2,2378.8,NA,838.9,1456.7,1029.9,NA,1778.5,1279.1,629,1460.8,984.8,1075.1,1106.1,681.1,2887.9,NA,NA,NA,1790.2,NA,NA,NA,NA,NA,313,NA,178.7,482.3,NA,NA,1043.2,1476.5,741.7,4633,2513.5,NA,145.2,222.8,389.6,NA,95,66,NA,NA,185.4,295.3
1958,NA,245.3,431.7,728.3,318.9,1315.5,2093.7,NA,774.6,1344.9,973.2,288.3,1498,1258.9,1384.6,1354.9,880.4,936.5,1081.4,614.2,2300.8,NA,NA,NA,1602.9,NA,NA,NA,NA,NA,288.1,NA,178.4,388.7,NA,NA,921,1106.1,614.5,1929.8,2166.2,NA,147.5,190.1,326.5,NA,150.4,66.7,NA,NA,183.9,259.3
1959,387.6,291.3,457.1,1608.1,362.6,1363.5,2149.3,1599.5,825.5,1460.7,1035.3,971.6,1547.1,1234.7,1542,1403.8,960.4,1017.9,1122.5,689.5,2459.7,NA,NA,NA,1826.3,NA,NA,NA,NA,NA,268.8,NA,177.5,362.4,NA,75,901.4,1231.4,773.5,2152.1,2417.7,NA,151,202.2,400,NA,126.1,77.1,36.8,NA,236.3,270
1960,309.2,247.2,364.2,1590.1,295,1294.7,2272.5,2152.8,771.7,1401.6,903.7,821.5,1492.9,1267.3,1541,1419.6,989.1,1034.8,1034.4,587.4,2458.2,1362.6,NA,NA,1754.4,NA,NA,481,NA,NA,338,NA,204.6,439.1,NA,313.7,944.1,1136.6,695.1,2053.6,2235.5,486.9,174.3,187.9,351.1,NA,208.6,100.2,151.6,NA,142.6,127.9
1961,423.2,357.6,544.3,1760.2,409.4,1513.2,2501.6,2475.7,899.3,1651.6,1136.4,945.8,1696.7,1412.4,1735.4,1546.4,1168.7,1218.5,1246.7,799.1,2688.8,1539.9,1459.8,NA,2064.5,NA,NA,1339.6,NA,NA,361.2,NA,224.8,463.3,NA,443.8,1095.3,1301.2,799.8,2286.2,2421.3,1490.1,227.7,296.1,440.3,1395.8,192.1,106.6,175.2,NA,253.7,307.8
1962,500.4,401.9,482.3,1719.1,406.3,1493.5,2531.5,2461.2,930.5,1686,1174.5,1017.7,1804.3,1417,1728.8,1614.7,1118.7,1194.6,1172,758.9,2659.1,1519.5,1427.8,NA,2229.9,NA,NA,1366.7,381,NA,272.4,NA,201.8,426.3,NA,391.5,1111.3,1407.1,841,2350.9,2635.8,1639.9,194.5,246,414.1,1352.4,192.2,102.8,167.8,NA,276.2,262.2
1963,399.3,304.3,452.6,1612.9,319.9,1375.4,2161.1,2087.9,827.8,1436,994.5,760.2,1647.7,1487.6,1590,1489.1,1049.6,1165,1150.9,673.3,2846.6,1484.7,1416.2,NA,2530.6,NA,NA,1525.1,1277.1,NA,378,NA,288.4,539.1,NA,406.5,1039.9,1509.1,1011.4,2395.9,2795.2,1789.5,307.5,377.5,569.5,1588.4,361.5,196.7,330,NA,185.6,221
1964,440.4,390.1,517.5,1498.8,430.9,1393.4,2268.4,2086.4,961.7,1491.1,1184.5,1038.7,1671.9,1430,1614,1471.4,1088.2,1125.6,1193.2,773,2409.1,1392.5,1166.3,NA,1718,NA,NA,1126.4,869.4,NA,249,NA,144,380,NA,361.8,946.6,1215.1,695,2064.6,2173.6,1373,157.3,210,429.3,1240.1,177.3,107.2,180.9,NA,280.3,305.1
1965,381,305.8,429.6,1335.9,342.9,1340.3,2162.9,2122.1,780.8,1380.4,906.9,847.7,1500,1241.8,1466.3,1324.1,1002.2,1032.1,1079.2,623.6,2726.9,1325.5,1285.2,NA,1698.9,751.7,NA,1497,1174.6,NA,399.2,NA,222.6,555.8,NA,443.2,1290.6,1295.6,791.1,2673.8,2585.5,1622.3,194.4,254.7,501.6,1348.5,230.6,105.9,212.1,NA,178.2,254.8
1966,297.4,247.9,347.3,1310.1,273.7,1356.7,2063.2,2040.1,787.5,1335.2,925.7,839.2,1523.8,1221.8,1451.1,1350.5,923.5,1029.2,961.4,628.4,2480.5,1181,1618.2,NA,1390.3,1979.8,NA,1258.3,1079.7,NA,408.4,NA,207.4,422,NA,255.3,1101.5,1092.3,621.5,2221,2134.7,1324.1,129.2,162.8,292.6,1113.7,131.1,58.9,144.5,NA,130.7,145.9
1967,562.2,502.7,688.9,1568.5,528.9,1506.1,2521.3,2440.7,1182.9,1665.2,1324.6,1216.5,1756.4,1338.4,1774.5,1544.1,1087.7,1241,1066.3,858.7,2793.3,1415.9,1730.7,NA,1685.2,2354.9,NA,1478,1220.6,NA,308.5,NA,206,442.3,1256,398.8,1139.1,1448.8,973.2,2443.1,2458.2,1836.7,266.3,286.2,423.1,1415.2,213.1,127,187.2,NA,337.7,286
1968,296.1,267.8,382.9,1338.5,301.8,1275,2266.7,2169.7,835.6,1350.6,967.9,924.3,1537.8,1205.8,1566.9,1341.9,936.7,1046.6,934.4,641.6,2581.4,1290.3,1795.1,NA,1605.8,2201.2,NA,1399.4,1206.2,NA,391.3,NA,220.9,463.1,1292.8,426.4,1425.4,1340.6,779.3,2215.6,2538.1,1641.1,234.8,246.4,355.3,1333.3,203,83.4,150.6,NA,263.2,276.9
