,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,255.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897.5,NA,372.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662.1,NA,NA,NA,161.3,NA,191.7,NA,NA,31,NA,NA,NA,NA
1955,NA,431.7,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,693.3,NA,NA,NA,1009.9,NA,733.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,NA,NA,NA,NA,NA,344.1,NA,NA,NA,160.5,NA,219.6,NA,NA,34.4,NA,NA,NA,NA
1956,NA,539.6,218.6,NA,219.9,NA,NA,NA,316.9,NA,1066.7,NA,NA,1344.2,NA,582.6,587.7,1240.8,540.3,580.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.7,NA,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.9,NA,NA,39,NA,NA,139.4,NA
1957,NA,388.3,533.6,NA,497.8,NA,772.5,NA,NA,NA,906.2,NA,NA,1138,NA,1069.6,551.2,1043.1,881.1,513.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.2,NA,109.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.6,NA,245.5,NA,NA,36.6,NA,NA,47.8,21.1
1958,NA,328,483.2,586.3,397.6,NA,1627.3,NA,NA,NA,865.7,264,601.8,1155.5,NA,932.4,724.2,858.8,860.6,451.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,96.5,NA,NA,NA,NA,NA,420.4,NA,NA,NA,197.3,NA,254.3,NA,67.5,31.9,NA,NA,NA,221.3
1959,461.3,361,490.1,1329.6,384.2,NA,1403.6,NA,286.8,NA,867.3,879.9,1461.8,1126.2,NA,984.8,910.7,889.9,921.2,474.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.3,NA,67.4,NA,NA,NA,NA,NA,765.7,NA,NA,NA,206,90.2,393.3,NA,99.1,55.9,NA,NA,NA,230.8
1960,454.3,363.1,466.4,1375.7,393.5,NA,1768.5,NA,656.2,NA,739.3,745.2,1348.8,1099.4,NA,1013.8,959,977.1,878.2,493.3,NA,524.3,NA,NA,NA,NA,NA,NA,NA,NA,291.8,NA,131.8,NA,NA,NA,NA,95.8,648.6,NA,NA,272.6,269.1,217.7,302.2,NA,197.3,86.7,NA,NA,NA,54.5
1961,539.5,477.9,630.4,1484.3,478.9,NA,2034.2,NA,770,654,1028.1,790,1447.7,1238.3,NA,1061.9,1096.4,1082,954.6,652.4,NA,1140,826,NA,NA,NA,NA,NA,NA,NA,238.1,NA,120.6,149.9,NA,NA,NA,NA,490.5,NA,NA,335.2,263.6,241.5,301.7,578.9,237.6,51,NA,NA,NA,191.6
1962,605.2,510.7,508.1,733.8,461.1,NA,1924.3,NA,825.9,1654.2,1034.5,898.2,1522.5,1263.1,12.9,1093.3,1085.3,1000.7,936.1,590,NA,1243.9,922.8,NA,NA,NA,NA,NA,190.5,NA,163.6,NA,108.6,249.5,NA,NA,NA,NA,601.7,NA,NA,NA,245.7,183.8,251.1,NA,219.5,44.6,NA,NA,NA,199.9
