,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,3629.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2931,NA,3543.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2914.3,NA,NA,NA,4013.1,NA,927,NA,NA,4219.4,NA,NA,NA,NA
1955,NA,5549.1,NA,NA,NA,NA,NA,NA,NA,NA,1490.9,NA,NA,1155.2,NA,NA,NA,2821.6,NA,3628.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4114.5,NA,NA,NA,NA,NA,493,NA,NA,NA,2495.1,NA,3471.6,NA,NA,4267.9,NA,NA,NA,NA
1956,NA,5940.1,NA,NA,456.4,NA,NA,NA,3749.3,NA,4074.6,NA,NA,2696.2,NA,48.2,2138.3,2900.4,3288.2,3731.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4236.8,NA,4125.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3202,NA,NA,4209.8,NA,NA,3664,NA
1957,NA,5523.1,5517.6,NA,5536.6,NA,41.8,NA,NA,NA,4167.1,NA,NA,2590.6,NA,2234.8,360.9,2746.3,3267.3,3890.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4102.9,NA,3884.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3751.3,NA,3220.1,NA,NA,4309.5,NA,NA,3356.5,3162.7
1958,NA,5558.7,5636.6,530.4,5608.9,NA,2113.5,NA,NA,NA,4182.3,3409.3,2588,3404.6,NA,2443.9,3639.7,3017,3299.6,3949.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4394.1,NA,4253.8,NA,NA,NA,NA,NA,2788.3,NA,NA,NA,4378.9,3050.5,3934.3,NA,3981.7,4789.3,NA,NA,NA,3637
1959,5848.7,6002.2,5727.4,3272.3,5506.4,NA,2152.7,NA,3304.8,NA,4356.8,3680,2914.9,3444.1,NA,2474.2,3741.9,2877.5,3297.5,3840.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.5,NA,3737.1,NA,NA,NA,NA,NA,2643.3,NA,NA,NA,4130.7,2829.4,3504.9,NA,3512.1,4243,NA,NA,NA,3366.8
1960,5889.4,5941.8,5671,3253.6,5773.3,NA,2191.9,NA,4589.6,NA,4411.8,3699.5,2942.7,3299.6,NA,2336.8,3701.8,3172.6,3227.3,3832.5,NA,2037.9,NA,NA,NA,NA,NA,NA,NA,NA,4064.1,NA,4202.3,NA,NA,NA,NA,1735.1,2613.1,NA,NA,78.6,4069,3335.6,3647.2,NA,3694.5,4139.3,NA,NA,NA,3524.1
1961,5867.9,5852.1,5478.4,3350.6,5642,NA,2229.6,NA,4682.1,1632.9,4165.1,3690.5,3011.4,3386.2,NA,2499,3290,3243.9,2962.3,3719.8,NA,2538.6,3439.8,NA,NA,NA,NA,NA,NA,NA,4125.8,NA,3781.9,3643.8,NA,NA,NA,NA,2869.7,NA,NA,NA,4196.4,3556.4,3677.1,1227.6,3987.2,4247.8,NA,NA,NA,3280.2
1962,5908.2,5938.1,5629.7,1.1,5870.6,NA,2219.7,NA,4647.9,2879.4,4305.4,3755,3025.4,3284.2,699.2,2601.6,3529,3224.2,3088.5,3827.8,NA,2479.8,3181.1,NA,NA,NA,NA,NA,975.5,NA,3920.4,NA,3716.3,3304.7,NA,NA,NA,NA,2614.7,NA,NA,NA,3869,3309.6,3521.3,NA,3636.2,4264.3,NA,NA,NA,3263.8
