,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,-4.82178497301785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.19950770547945,NA,-2.95138191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.70008018710324,NA,NA,NA,-4.53631382316314,NA,-1.17541039284501,NA,NA,-4.5511811023622,NA,NA,NA,NA
1955,NA,-7.37115815691158,NA,NA,NA,NA,NA,NA,NA,NA,-1.74611314441075,NA,NA,-0.964315068493151,NA,NA,NA,-3.08008561643836,NA,-3.0220098630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.69691780821918,NA,NA,NA,NA,NA,-0.625927163381223,NA,NA,NA,-2.82040233738864,NA,-4.40189290161893,NA,NA,-4.60349476863337,NA,NA,NA,NA
1956,NA,-7.89054379410544,NA,NA,-0.492862713728627,NA,NA,NA,-4.80819586126494,NA,-4.772092439611,NA,NA,-2.25068065068493,NA,-0.0605251141552511,-2.90715418683696,-3.16610445205479,-4.96807010475423,-3.10812931506849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.74499814883377,NA,-4.70970319634703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.06004754896411,NA,NA,-4.5408262323374,NA,NA,-3.97039460233081,NA
1957,NA,-7.33662100456621,-7.70952328767123,NA,-5.9789301069893,NA,-0.0437598841741842,NA,NA,NA,-4.88042664435847,NA,NA,-2.16252996575342,NA,-2.80625570776256,-0.490666392007416,-2.99788741438356,-4.93649274778405,-3.2403901369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.53182895223991,NA,-4.43413242009132,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.24038126257304,NA,-4.08299784897543,NA,NA,-4.64836587207421,NA,NA,-3.63718053567778,-3.31099008798307
1958,NA,-7.3839103362391,-7.87579726027397,-0.765732097448938,-6.05700629937006,NA,-2.21259605746742,NA,NA,NA,-4.89822858935481,-3.13842410958904,-3.6494762288477,-2.84202482876712,NA,-3.06882420091324,-4.94840251313215,-3.29338613013699,-4.98529411764706,-3.28919671232877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.99542021473528,NA,-4.85593607305936,NA,NA,NA,NA,NA,-3.54010691613765,NA,NA,NA,-4.94980553692882,-4.32908248743471,-4.98858372014038,NA,-5.41143565958365,-5.16589364685579,NA,NA,NA,-3.80752867802651
1959,-7.49501988510826,-7.97303445413034,-8.00266849315068,-4.72418013288492,-5.94631736826318,NA,-2.25363403497049,NA,-4.2381579714369,NA,-5.10259960263516,-3.38761643835617,-4.11045527800161,-2.87499785958904,NA,-3.10687214611872,-5.0873498815532,-3.14110659246575,-4.9821212731668,-3.19849643835617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.51527212143651,NA,-4.26609589041096,NA,NA,NA,NA,NA,-3.35601069161377,NA,NA,NA,-4.66924609636938,-4.01531092933872,-4.44411638175025,NA,-4.77321324560457,-4.57663682450653,NA,NA,NA,-3.52465976166611
1960,-7.5471763146266,-7.89280199252802,-7.92386301369863,-4.69718316791075,-6.23454054594541,NA,-2.29467201247355,NA,-5.88581754590498,NA,-5.1670145351877,-3.40556712328767,-4.14965753424657,-2.754375,NA,-2.93433789954338,-5.03283139355237,-3.46324058219178,-4.87605761482675,-3.192,NA,-2.67532534246575,NA,NA,NA,NA,NA,NA,NA,NA,-6.47005923731951,NA,-4.79714611872146,NA,NA,NA,NA,-2.44287290715373,-3.31766789174741,NA,NA,-0.112220721589813,-4.59950186799502,-4.73367891987779,-4.62454885090003,NA,-5.02110883399849,-4.46478265559271,NA,NA,NA,-3.68933511526896
