,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,2.75698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22027397260274,NA,-2.33424657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.44712328767123,NA,NA,NA,-2.54,NA,4.82767123287671,NA,NA,-2.31068493150685,NA,NA,NA,NA
1955,NA,-2.46383561643836,NA,NA,NA,NA,NA,NA,NA,NA,4.29178082191781,NA,NA,-0.66986301369863,NA,NA,NA,-2.06109589041096,NA,-2.79095890410959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92931506849315,NA,NA,NA,NA,NA,3.84520547945205,NA,NA,NA,1.33397260273973,NA,-2.66465753424657,NA,NA,-2.76109589041096,NA,NA,NA,NA
1956,NA,-2.56054794520548,NA,NA,11.9435616438356,NA,NA,NA,-1.13342465753425,NA,-3.02712328767123,NA,NA,-1.1172602739726,NA,-0.113150684931507,-0.996986301369863,-2.2841095890411,-2.84,-3.02082191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9972602739726,NA,-3.13753424657534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74547945205479,NA,NA,-3.10191780821918,NA,NA,-2.39643835616438,NA
1957,NA,-2.51534246575343,-3.26383561643836,NA,-3.02739726027397,NA,2.81972602739726,NA,NA,NA,-3.10904109589041,NA,NA,-0.780273972602739,NA,-2.51479452054794,5.90191780821918,-1.98219178082192,-3.15917808219178,-3.4772602739726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.83917808219178,NA,-2.91671232876713,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71945205479452,NA,-2.84109589041096,NA,NA,-3.24876712328767,NA,NA,-1.9441095890411,-3.66986301369863
1958,NA,-2.01424657534246,-2.99643835616439,-0.601917808219178,-2.66876712328767,NA,-2.59808219178082,NA,NA,NA,-2.90356164383562,-1.98575342465753,-1.83178082191781,-2.69479452054795,NA,-2.52575342465753,-2.6241095890411,-2.30821917808219,-2.81780821917808,-3.02410958904109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1586301369863,NA,-3.26602739726027,NA,NA,NA,NA,NA,-2.22794520547945,NA,NA,NA,-3.02657534246575,-0.91041095890411,-3.55917808219178,NA,-2.12438356164383,-3.46958904109589,NA,NA,NA,-4.19369863013699
1959,-3.35095890410959,-3.24027397260274,-3.36986301369863,-3.52767123287671,-2.38986301369863,NA,-2.89205479452055,NA,0.547671232876711,NA,-3.26520547945205,-2.46904109589041,-2.76767123287671,-3.00109589041096,NA,-2.94493150684931,-3.09205479452055,-2.29534246575342,-3.05479452054795,-2.97369863013699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.74821917808219,NA,-2.87342465753425,NA,NA,NA,NA,NA,-2.4413698630137,NA,NA,NA,-3.09808219178082,-0.898630136986302,-3.24493150684931,NA,-1.64054794520548,-2.92986301369863,NA,NA,NA,-3.84164383561644
1960,-3.23671232876712,-3.16,-2.98301369863014,-3.48904109589041,-3.10465753424657,NA,-2.78958904109589,NA,-3.11232876712329,NA,-3.45315068493151,-2.62575342465753,-2.72301369863014,-2.48027397260274,NA,-2.37315068493151,-2.93808219178082,-2.87315068493151,-2.88191780821918,-2.94712328767123,NA,-0.96109589041096,NA,NA,NA,NA,NA,NA,NA,NA,-3.63068493150685,NA,-3.31068493150685,NA,NA,NA,NA,-0.974520547945205,-1.96904109589041,NA,NA,-0.176438356164384,-2.71835616438356,-1.88602739726027,-3.24602739726027,NA,-1.82657534246575,-2.28602739726027,NA,NA,NA,-4.03753424657534
