,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,1.90328767123288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.47095890410959,NA,-3.73397260273973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58493150684932,NA,NA,NA,-2.61506849315068,NA,4.49095890410959,NA,NA,-2.51260273972603,NA,NA,NA,NA
1955,NA,-2.13424657534247,NA,NA,NA,NA,NA,NA,NA,NA,2.22657534246575,NA,NA,-0.545753424657534,NA,NA,NA,-2.41178082191781,NA,-2.80383561643836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.13945205479452,NA,NA,NA,NA,NA,2.51452054794521,NA,NA,NA,1.20794520547945,NA,-3.19013698630137,NA,NA,-2.99397260273973,NA,NA,NA,NA
1956,NA,-2.20027397260274,NA,NA,11.2841095890411,NA,NA,NA,-2.82767123287671,NA,-3.43534246575342,NA,NA,-2.08191780821918,NA,-0.481369863013699,-0.833150684931507,-2.34794520547945,-4.58575342465753,-3.53260273972603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.59123287671233,NA,-3.47041095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68219178082192,NA,NA,-3.27945205479452,NA,NA,-2.72301369863014,NA
1957,NA,-2.23945205479452,-3.11890410958904,NA,-2.78465753424658,NA,-1.58109589041096,NA,NA,NA,-3.44794520547945,NA,NA,-1.16684931506849,NA,-3.58657534246575,4.71397260273973,-2.06986301369863,-3.77561643835617,-3.93698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.97287671232877,NA,-3.10712328767123,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.76493150684932,NA,-3.2358904109589,NA,NA,-3.32931506849315,NA,NA,-2.32109589041096,-4.42109589041096
1958,NA,-1.78767123287671,-2.85534246575343,-0.990958904109589,-2.4531506849315,NA,-3.8758904109589,NA,NA,NA,-3.19808219178082,-2.05232876712329,-4.28712328767123,-2.97808219178082,NA,-3.68328767123288,-3.05205479452055,-2.52109589041096,-3.4227397260274,-3.46904109589041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.25479452054795,NA,-3.49041095890411,NA,NA,NA,NA,NA,-2.75972602739726,NA,NA,NA,-2.89013698630137,NA,-3.75698630136986,NA,-2.35150684931507,-3.56493150684932,NA,NA,NA,-4.29780821917808
1959,-3.14904109589041,-3.04931506849315,-3.27945205479452,-4.29068493150685,-2.33068493150685,NA,-4.93506849315069,NA,-0.928219178082191,NA,-3.7254794520548,-2.72027397260274,-3.0013698630137,-3.29835616438356,NA,-4.09287671232877,-3.22821917808219,-2.64602739726027,-3.60630136986301,-3.56219178082192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.81808219178082,NA,-3.17506849315068,NA,NA,NA,NA,NA,-2.4627397260274,NA,NA,NA,-2.94739726027397,-1.20547945205479,-3.26328767123288,NA,-1.71452054794521,-2.98794520547945,NA,NA,NA,-3.94904109589041
1960,-2.83917808219178,-2.84246575342466,-2.70301369863014,-4.07643835616438,-2.83479452054794,NA,-4.17041095890411,NA,-3.42876712328767,NA,-3.90356164383562,-2.83479452054795,-3.11780821917808,-2.94027397260274,NA,-3.48493150684932,-3.02054794520548,-3.03123287671233,-3.30986301369863,-3.20493150684931,NA,-3.25780821917808,NA,NA,NA,NA,NA,NA,NA,NA,-3.7572602739726,NA,-3.51013698630137,NA,NA,NA,NA,-3.82602739726027,-2.09643835616438,NA,NA,-0.763561643835616,-2.4586301369863,-1.80438356164384,-3.38,NA,-1.85753424657534,-2.32301369863014,NA,NA,NA,-4.2386301369863
