,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,4.42424242424242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37172517123288,NA,5.73601534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47033077180087,NA,NA,NA,6.01656288916563,NA,0.839110155100192,NA,NA,6.92388739078848,NA,NA,NA,NA
1955,NA,6.64911581569116,NA,NA,NA,NA,NA,NA,NA,NA,1.57416082819199,NA,NA,0.301164383561644,NA,NA,NA,1.88347602739726,NA,4.91004493150685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35705479452055,NA,NA,NA,NA,NA,-0.217981957901771,NA,NA,NA,3.57576204617301,NA,4.50769613947696,NA,NA,6.99513536835293,NA,NA,NA,NA
1956,NA,6.90534661685347,NA,NA,0.155082491750825,NA,NA,NA,4.59563975517342,NA,3.46872947819722,NA,NA,1.45342893835616,NA,-1.52463470319635,1.34106499124524,1.3807448630137,2.5604230459307,5.52529534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53746760459089,NA,6.35577625570776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34570587569342,NA,NA,6.8860230827311,NA,NA,5.68604375383357,NA
1957,NA,6.73132420091324,5.94527123287671,NA,7.82600139986001,NA,-2.04567769239336,NA,NA,NA,4.05354595838126,NA,NA,1.81719606164384,NA,0.386073059360731,-1.01203625502111,1.66841395547945,1.6010414987913,6.01248657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98515734912995,NA,5.90860730593607,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68482421687901,NA,4.06659119212046,NA,NA,7.05820947039154,NA,NA,5.42775097117154,5.29613319968816
1958,NA,6.94677459526774,6.24310684931507,-0.918882782380444,8.22052794720528,NA,-0.880541262946876,NA,NA,NA,4.18834675311095,5.47883616438356,1.79216760676873,3.31989297945205,NA,1.07227168949772,3.03926871974457,2.61949058219178,1.69689766317486,6.29272109589041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35005923731951,NA,6.53392694063927,NA,NA,NA,NA,NA,2.94729034413632,NA,NA,NA,6.50663281923556,NA,5.09360806068154,NA,5.31239995685471,7.86807895588394,NA,NA,NA,5.55055351375432
1959,7.26498011489174,7.48230801162308,6.34609863013699,0.598285620539744,8.08710728927107,NA,-0.201305267847199,NA,4.03033517924803,NA,4.45767436996758,4.2838904109589,-0.129359387590653,3.47541309931507,NA,0.973675799086758,2.66936244721392,2.30437285958904,1.52828968573731,6.02232547945206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03048130322103,NA,5.78787671232877,NA,NA,NA,NA,NA,1.78809889742733,NA,NA,NA,6.08335664335664,3.48934660490786,4.08081512509906,NA,4.57747168590228,6.89487002480854,NA,NA,NA,5.0671210602517
1960,7.34350861688025,7.39130759651308,6.33531506849315,0.447748338938562,8.50463753624637,NA,-1.13467201247355,NA,4.8906208102594,NA,4.89462930042873,4.68840547945205,0.217191780821918,3.27357020547945,NA,0.690319634703197,2.48168915439283,2.5518279109589,1.55983279613215,5.95649315068493,NA,1.47152397260274,NA,NA,NA,NA,NA,NA,NA,NA,3.86500925583117,NA,6.35490867579909,NA,NA,NA,NA,2.0483599695586,2.06452388907451,NA,NA,-0.643727570904882,5.81118306351183,3.80851286094412,4.5398347107438,NA,4.56026102901521,6.63823104303743,NA,NA,NA,5.81641830938857
