,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
intercept,-1.85,-0.76,-0.70,-1.96,0.26,-1.17,-0.69,-0.49,-0.77,-0.82,-1.04,-1.33,-1.06,-1.00,-1.07,-1.23,-1.45,-2.42,-2.07,-0.57,-0.40,-1.19,-1.49,-1.03,-0.94,-0.59,-2.90,-1.55,-2.77,-3.52,-4.23,-1.70,0.47,-2.12,-1.90,-2.83,-2.87,-1.81,-2.09,-0.90,-1.24,-1.47,-1.11,-5.74,-6.46,-1.70,-3.60,-3.08,-0.59,-3.71,-1.47,-2.30
slope,2.07,2.00,2.04,2.49,1.58,1.36,1.11,1.14,1.88,1.44,1.78,1.66,1.55,1.49,1.21,1.31,2.06,2.20,2.19,1.44,1.16,1.40,1.89,1.67,1.13,1.20,2.73,1.88,2.26,2.34,3.13,1.68,1.59,1.90,1.67,1.81,2.31,1.79,2.12,1.19,0.93,0.89,1.78,3.21,3.00,1.45,2.52,2.04,1.52,2.67,1.81,1.93
r,0.98,0.98,0.97,0.98,0.98,1.00,0.97,0.98,0.93,0.96,0.96,0.97,0.92,0.98,0.96,0.93,0.89,0.94,0.95,0.97,0.96,0.92,0.97,0.98,0.95,0.97,0.93,0.95,0.97,0.99,0.98,0.98,0.99,0.99,0.97,0.99,0.90,0.93,0.92,0.97,0.96,0.86,0.97,0.92,0.95,0.81,0.94,0.96,0.99,0.96,0.97,0.99
rr,0.96,0.95,0.93,0.96,0.96,0.99,0.94,0.97,0.87,0.93,0.92,0.94,0.85,0.97,0.92,0.87,0.79,0.88,0.90,0.95,0.92,0.85,0.94,0.95,0.91,0.93,0.86,0.90,0.94,0.97,0.95,0.96,0.97,0.99,0.95,0.98,0.81,0.87,0.85,0.94,0.92,0.75,0.94,0.84,0.91,0.66,0.87,0.93,0.98,0.92,0.93,0.99
rmse,6.20,6.69,6.09,1.46,5.36,0.88,0.83,0.62,3.67,0.23,2.57,1.70,0.91,0.76,1.03,1.02,1.34,0.63,0.85,1.95,0.86,0.89,0.82,0.50,1.00,0.83,2.91,0.63,0.81,4.10,4.59,3.18,4.22,2.78,0.79,2.65,1.28,1.18,0.80,1.24,1.06,1.50,3.53,2.93,2.64,1.40,3.82,4.11,2.65,2.35,3.62,3.05
nrmse,0.82,0.89,0.92,0.82,0.61,0.15,-0.85,-1.13,0.70,0.12,0.55,0.36,1.01,0.22,2.85,1.15,0.53,0.27,0.44,0.33,-0.34,0.81,0.38,0.31,3.57,-1.23,0.87,0.52,0.33,0.71,1.11,0.43,0.65,0.50,0.35,0.39,0.90,1.24,0.37,-0.78,-0.52,-3.17,0.59,0.75,0.58,1.56,0.77,0.58,0.42,0.65,0.57,0.53
sd_s,0.54,0.59,0.52,1.01,0.50,0.51,0.59,0.70,0.59,0.65,0.74,0.60,0.97,0.76,0.49,0.60,0.48,0.53,0.66,0.39,0.80,0.57,1.11,0.90,0.76,0.78,0.67,0.52,0.84,0.55,0.40,0.62,0.59,0.81,0.97,0.47,0.55,0.65,0.61,0.61,1.00,0.69,0.44,0.26,0.43,0.51,0.35,0.35,0.70,0.43,0.46,0.94
sd_k,1.11,1.13,1.09,2.54,0.88,0.64,0.60,0.63,0.82,0.68,1.17,0.75,1.02,1.03,0.57,0.71,0.95,1.01,1.34,0.56,0.66,0.81,1.69,1.19,0.61,0.78,1.79,0.78,1.48,1.09,1.14,0.67,0.87,1.28,1.41,0.77,0.95,1.04,1.24,0.66,0.60,0.69,0.79,0.80,1.11,0.44,0.86,0.51,0.98,1.00,0.77,1.69
mef,-120.17,-118.58,-126.38,-0.92,-107.22,-1.73,-0.85,0.27,-32.15,0.89,-10.30,-6.43,0.25,0.04,-2.86,-1.50,-6.37,-0.36,-0.54,-21.10,0.03,-1.27,0.51,0.72,-0.48,-0.06,-16.50,-0.44,0.12,-50.30,-128.99,-21.31,-47.70,-10.07,0.39,-30.68,-3.77,-1.92,-0.62,-2.70,0.07,-3.09,-60.19,-121.36,-33.85,-5.39,-104.47,-117.66,-12.11,-26.84,-52.67,-9.00
nae,0.81,0.87,0.90,0.12,0.60,0.15,0.89,1.35,0.67,-0.10,0.50,0.33,-1.15,0.16,-3.07,-1.31,0.46,0.12,-0.03,0.32,0.39,-0.80,0.04,-0.21,-4.39,1.38,0.73,-0.48,0.02,0.69,1.08,0.40,0.64,0.47,-0.30,0.39,-0.99,-1.26,0.06,0.86,0.65,3.35,0.57,0.73,0.53,-1.74,0.76,0.57,0.39,0.60,0.56,0.49
vr,4.18,3.67,4.30,6.38,3.07,1.58,1.03,0.83,1.91,1.07,2.55,1.56,1.11,1.84,1.37,1.38,3.91,3.57,4.19,2.02,0.68,2.01,2.30,1.72,0.63,1.00,7.23,2.27,3.13,3.88,8.14,1.14,2.21,2.51,2.11,2.67,2.95,2.58,4.09,1.14,0.35,1.00,3.19,9.48,6.59,0.76,6.01,2.04,1.99,5.42,2.89,3.23
pbias,-73.72,-80.29,-84.74,-25.26,-56.20,-13.18,-76.13,-96.76,-59.39,2.02,-48.58,-32.03,72.49,-17.36,237.29,93.70,-44.26,-14.51,-3.36,-29.61,-26.54,67.88,-9.43,8.24,294.39,-108.59,-71.28,39.37,-6.90,-64.00,-104.69,-36.18,-59.99,-45.03,18.59,-38.07,71.98,94.06,-9.68,-67.31,-41.42,-255.56,-54.82,-68.05,-50.76,124.70,-67.56,-50.27,-36.02,-56.37,-47.16,-47.31
nse,0.08,0.07,0.05,-0.83,0.06,0.32,0.42,0.67,0.09,0.90,0.01,0.04,0.66,0.37,0.39,0.48,-0.07,-0.06,-0.53,0.09,0.62,0.33,0.51,0.75,0.60,0.57,-0.19,0.38,0.12,0.05,0.00,0.08,0.05,0.04,0.60,0.02,0.38,0.36,-0.55,0.39,0.67,0.37,0.03,0.03,-0.05,0.41,0.08,0.10,0.10,-0.01,0.16,0.02
rsr,0.96,0.96,0.98,1.35,0.97,0.83,0.76,0.58,0.95,0.32,1.00,0.98,0.59,0.79,0.78,0.72,1.03,1.03,1.24,0.96,0.61,0.82,0.70,0.50,0.63,0.66,1.09,0.79,0.94,0.98,1.00,0.96,0.97,0.98,0.64,0.99,0.79,0.80,1.24,0.78,0.58,0.79,0.99,0.99,1.03,0.77,0.96,0.95,0.95,1.00,0.92,0.99
d,0.13,0.13,0.13,0.81,0.14,0.65,0.67,0.81,0.19,0.96,0.37,0.41,0.77,0.82,0.56,0.59,0.49,0.82,0.78,0.29,0.70,0.69,0.90,0.93,0.60,0.76,0.34,0.77,0.86,0.20,0.15,0.21,0.19,0.38,0.87,0.28,0.53,0.64,0.79,0.53,0.58,0.50,0.19,0.15,0.24,0.34,0.14,0.10,0.38,0.26,0.18,0.44
