,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1951,NA,NA,NA,NA,NA,NA,NA,NA,3074.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.6,NA,NA,NA,NA,NA,2416.7,NA,NA,NA,NA,NA,126.3,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,3069.8,NA,110.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1644,NA,NA,NA,NA,NA,2429.7,NA,NA,NA,NA,NA,2808.6,NA
1953,NA,4608.8,NA,NA,NA,NA,NA,NA,3219.3,NA,3045.6,NA,NA,NA,NA,NA,NA,NA,2221.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226.5,703,NA,NA,NA,NA,2403.1,NA,NA,2891.9,NA,NA,2815,1062.3
1954,NA,4636.2,NA,NA,NA,NA,NA,NA,3354.8,NA,3089.5,NA,NA,NA,NA,NA,NA,2120.6,2269.4,2691.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021.1,813.1,NA,NA,3086,NA,2689.1,NA,NA,3376,NA,NA,2834.5,2562.2
1955,NA,4649.8,NA,NA,91.5,NA,NA,NA,3491,NA,3057.4,NA,NA,910.7,NA,NA,NA,2069.3,2130.7,2609.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3045.3,NA,NA,NA,NA,NA,1896.5,757.1,NA,NA,2982,NA,2499,NA,NA,3260.1,NA,NA,2676.5,2388
1956,NA,5005.5,1,NA,4815.8,375.2,NA,NA,3335.6,1449.5,2969.7,NA,1650.2,2288.4,NA,6.9,1774.4,2066.7,2251.6,2629.2,6.7,NA,NA,NA,68.1,NA,NA,NA,NA,NA,2777.8,NA,2980.5,36,NA,NA,1080.7,69.7,1821.3,634.8,59.8,NA,2886.8,1.9,2199.9,NA,NA,3077.6,NA,NA,2789.3,2388.9
1957,NA,4605,4326.3,NA,4431.6,2099.4,1071,NA,3375.1,1574.5,3032.3,NA,1792.5,2305.8,820.7,1316.9,2515.1,2022.8,2114.2,2621.4,522.2,NA,NA,NA,1118.7,NA,NA,NA,NA,NA,2701.6,NA,2819.7,2231.2,NA,NA,982.3,1224.7,1743.3,1430,603.2,NA,2758.7,2325.3,2183.1,NA,2737,3123.7,NA,NA,2646.9,1823.2
1958,NA,4823.5,4542.9,310.7,4634.8,2359.9,1165.2,NA,3449.3,1758,3122.5,2684.5,1919.4,2421,1372.4,1522,2681.9,2174.5,2271.1,2845.4,483.2,NA,NA,NA,1244.8,NA,NA,NA,NA,NA,2876.2,NA,3061.7,2424.2,NA,NA,1090.8,1419.8,1975.1,797.6,690.9,NA,3274.2,2718.2,2635.2,NA,3206.3,3522.9,NA,NA,2930.9,2106.3
1959,4625.6,4819.5,4497.4,1984.7,4634.1,2391.4,1097.1,938.3,3504.7,1682.3,3165,2778.8,1904.7,2348.7,1301.7,1399.3,2613.3,2039.7,2182.5,2754.9,443.9,NA,NA,NA,1179.9,NA,NA,NA,NA,NA,2724.4,NA,2688.3,2251.7,NA,1365.8,1041.5,1304,1752.2,730.1,600.6,NA,2999.9,2501.4,2320.5,NA,2913.3,3173.6,353.6,NA,2831.1,1964.6
1960,4708,4788.4,4582.2,1980.1,4640.1,2375.9,1173.7,1029.9,3453.6,1753.8,3151.4,2741.1,1948.8,2394.3,1345.6,1470.6,2629.4,2123.9,2175.4,2756.8,502,1687.1,NA,NA,1228.8,NA,NA,1202.5,NA,NA,2738.9,NA,2993.9,2249.6,NA,2287.4,1066.8,1379.4,1894.4,827.3,686.6,14.2,3076.8,2647.2,2462.4,NA,3027.8,3304.9,3025.3,NA,2780.2,2050.4
