SID,Year,Mon,Day,Temperature,GT,MaxTemp,MinTemp
50136,1959,1,1,-34.1,-36.1,-27.3,-39.2
50136,1959,1,2,-35.8,-37,-29,-41.8
50136,1959,1,3,-27.8,-28.6,-24.5,-38.8
50136,1959,1,4,-23.5,-25,-21.4,-27.5
50136,1959,1,5,-26.6,-29.5,-21.6,-33.2
50136,1959,1,6,-30.9,-32.7,-25.3,-36.2
50136,1959,1,7,-35.4,-37.1,-29,-41.7
50136,1959,1,8,-35.8,-36.5,-30.1,-42.5
50136,1959,1,9,-34.8,-36.6,-27.2,-38.7
50136,1959,1,10,-36.4,-38.6,-29.4,-40.2
50136,1959,1,11,-39.4,-41,-31,-45.3
50136,1959,1,12,-30.4,-31.7,-24.4,-37.8
50136,1959,1,13,-39.2,-40.9,-27.8,-46.1
50136,1959,1,14,-40.9,-41.9,-31,-46.2
50136,1959,1,15,-37.4,-38,-27.9,-43.1
50136,1959,1,16,-33.9,-36.3,-26,-39.8
50136,1959,1,17,-25.4,-26,-20.4,-30.9
50136,1959,1,18,-21.2,-23,-14.8,-25.7
50136,1959,1,19,-19.1,-23.3,-12.4,-27.8
50136,1959,1,20,-22.8,-26.7,-11.6,-31.2
50136,1959,1,21,-24.8,-25.4,-18.3,-30.6
50136,1959,1,22,-23.7,-27.4,-17.6,-28.6
50136,1959,1,23,-28.2,-27.4,-19.7,-35.6
50136,1959,1,24,-18.1,-18.2,-16.3,-20
50136,1959,1,25,-20,-23.6,-15.5,-29.3
50136,1959,1,26,-30.8,-33.6,-19.1,-38.4
50136,1959,1,27,-26.8,-30.1,-18.3,-35.5
50136,1959,1,28,-32.9,-36.5,-23.6,-39
50136,1959,1,29,-30,-34.2,-18.7,-36.1
50136,1959,1,30,-32.4,-36,-18.4,-39.8
50136,1959,1,31,-29.8,-31.2,-21.9,-36
50136,1959,2,1,-28.1,-27.9,-21.3,-36
50136,1959,2,2,-22.6,-24.8,-15.1,-31.3
50136,1959,2,3,-27,-31.6,-13.2,-34.7
50136,1959,2,4,-26,-25.4,-17.8,-33.5
50136,1959,2,5,-17.3,-19.6,-11.3,-22.7
50136,1959,2,6,-26.8,-29.7,-16.3,-35.6
50136,1959,2,7,-28.4,-31.6,-17.2,-36
50136,1959,2,8,-28.7,-32.6,-19.8,-36.4
50136,1959,2,9,-27.1,-31.6,-16.5,-37.7
50136,1959,2,10,NA,NA,-12.8,-36.3
50136,1959,2,11,-24.5,-27.2,-15.9,-31.5
50136,1959,2,12,-24.6,-27.8,-11,-32.4
50136,1959,2,13,-27.1,-31.8,-17.2,-35.6
50136,1959,2,14,-31.4,-34.9,-19.4,-39.5
